gene_id,gene_name,logFC,logCPM,PValue,FDR
ENSDARG00000060397,hhip,-0.47058949172951514,5.023983724180518,3.606830448126389e-4,0.0034853460311743967
ENSDARG00000036592,setd4,-0.7932675260291945,2.389935999031046,3.6573025294576e-4,0.0035198099531622016
ENSDARG00000054304,homeza,-0.7087942447052473,2.6802416613044575,3.731852280529417e-4,0.0035791367117008355
ENSDARG00000029722,hmgb2a,-0.6568706356766973,6.077298288815097,3.959521412385988e-4,0.003752074960256426
ENSDARG00000052012,rtn4rl2a,0.9945855557625463,5.605786848223868,4.403138345396909e-4,0.004065939071443095
ENSDARG00000069435,cfap58,-0.9907665760553203,1.9435723180754914,4.489952967337073e-4,0.004127779965551873
ENSDARG00000054031,mxd4,-0.4959168080888956,4.010779652484353,4.541699618201953e-4,0.004161557359409719
ENSDARG00000063207,erbb4a,-0.5568181248574102,4.58664594022827,4.568932178083746e-4,0.004171431253343866
ENSDARG00000053293,ftr14,-0.8944900604480764,0.8631923345211108,4.60805897439377e-4,0.004201539799118484
ENSDARG00000075098,wdr17,0.3823648888898335,5.673300983050021,4.674263387918826e-4,0.0042502591680311065
ENSDARG00000023185,si:rp71-1g18.13,-1.1417012067860406,2.166860117144586,4.7894053666500054e-4,0.004328935649161113
ENSDARG00000079352,sap130b,-0.8177754242196563,4.361137669232028,4.811297320670393e-4,0.004333573931176874
ENSDARG00000067950,zcchc2,-0.4657023404099673,4.690205798212562,4.8141440957875437e-4,0.004333573931176874
ENSDARG00000010442,rnf11a,0.4711321396139292,4.603710964716576,4.8485212200021036e-4,0.004349293428616442
ENSDARG00000097244,zgc:174263,-0.4688330007704071,4.195280850255349,4.942618749663443e-4,0.004409929007742611
ENSDARG00000024933,spast,0.4782528293223172,3.144216918075283,5.009346405336518e-4,0.004457514662288752
ENSDARG00000004891,pex19,0.4819249896463521,5.578005450558244,5.268215640337477e-4,0.004624859218794891
ENSDARG00000089138,si:ch1073-440b2.1,0.6027025564737546,4.377806810843243,5.384088082171567e-4,0.004700484033963006
ENSDARG00000009472,med19b,-0.6435131840958215,4.164045905489379,5.437847271074793e-4,0.004720176243645517
ENSDARG00000037177,zc3h13,-0.4045362302935943,6.863992259905497,5.574400438106816e-4,0.004801139921847692
ENSDARG00000069360,ppp3r1b,0.6187329046992581,6.7828515528634625,5.58925728834292e-4,0.004811445487740621
ENSDARG00000099995,apbb2b,-0.41766139721954443,6.436609502072357,5.706856805207121e-4,0.004886112831436398
ENSDARG00000016548,eif5b,-0.5755074492785129,6.490940292188926,5.72250195247656e-4,0.00489397816477866
ENSDARG00000074604,phc3,-1.0297860983082188,2.8006115440279897,5.923322813793619e-4,0.005036489096654359
ENSDARG00000004580,nmnat2,0.4837788854196407,6.185550307025388,6.059113476852683e-4,0.005128364611130653
ENSDARG00000062955,dipk1aa,0.5494393884772467,3.4255030847708063,6.09647628002166e-4,0.0051464847063043264
ENSDARG00000005578,ugp2a,-1.1723677540656807,0.7266747801973975,6.101062301900565e-4,0.0051464847063043264
ENSDARG00000061732,raph1b,-0.7430500987657072,6.7252328266326264,6.282755592688582e-4,0.005245612296153437
ENSDARG00000099960,elovl1a,0.9376896005918627,1.2527539790769016,6.42312949600138e-4,0.005336039681151421
ENSDARG00000113296,LO017722.1,-1.3231522336013404,1.17954128296073,6.434590580451376e-4,0.0053385383947852
ENSDARG00000098852,smdt1b,0.9203586689490371,4.316071786374052,6.497153767359567e-4,0.005376063584727161
